Date,Open.SBI,High.SBI,Low.SBI,Close.SBI,Adj Close.SBI,Volume.SBI,Open.RCOM,High.Rcom,Low.Rcom,Close.Rcom,Adj Close.Rcom,Volume.Rcom,Open.kcp,High.kcp,Low.kcp,Close.kcp,Adj Close.kcp,Volume.kcp,Open.HDFC,High.HDFC,Low.HDFC,Close.HDFC,Adj Close.HDFC,Volume.HDFC,Open.HATH,High.HATH,Low.HATH,Close.HATH,Adj Close.HATH,Volume.HATH
3/27/2017,276,280.799988,275.200012,279.450012,276.945465,15966114,38.400002,38.5,37.400002,38.150002,38.150002,12674446,100.199997,100.25,97.300003,97.699997,95.813896,21630,1424,1424,1404.050049,1409.849976,1400.543701,1466021,38.25,38.299999,37.75,38.049999,38.049999,9875
3/28/2017,280.649994,282.899994,278.5,282.100006,279.571686,18673371,38.099998,38.599998,38,38.400002,38.400002,10813210,99,99,98.199997,98.699997,96.794594,93040,1418.300049,1424.699951,1413.099976,1420.199951,1410.825439,2015350,37.950001,38.349998,37.5,37.650002,37.650002,28584
3/29/2017,283.149994,289.899994,283.149994,288.450012,285.864807,31008407,38.450001,38.799999,37.950001,38.150002,38.150002,16121846,99.050003,103.099998,99.050003,101.199997,99.24633,105501,1420.800049,1434.800049,1420,1428.599976,1419.170044,2143943,37.5,41.349998,37.25,37.799999,37.799999,25805878
3/30/2017,289,293.75,288.850006,291.049988,288.441467,19683170,38.150002,38.5,37.900002,38.25,38.25,12810690,101.849998,103.800003,101.849998,102.349998,100.37413,34781,1428,1479.949951,1425.050049,1466.199951,1456.521729,8580273,38.599998,39.200001,37.700001,37.799999,37.799999,132189
3/31/2017,292,295,288.5,293.399994,290.770416,20185269,38.200001,38.650002,38,38.299999,38.299999,7207068,102.949997,105.300003,102.75,103.900002,101.894211,64024,1453.800049,1454,1436.550049,1442.550049,1433.027954,2412848,37.900002,38.299999,37.700001,37.849998,37.849998,28401
4/3/2017,294.799988,295.700012,292.200012,293.149994,290.522644,10509610,38.299999,39.099998,38.150002,38.950001,38.950001,8319654,105,108.449997,104.699997,107.650002,105.571815,117893,1446,1450.099976,1426,1433.199951,1423.739624,1037263,38.5,38.5,36.299999,36.599998,36.599998,5596828
4/5/2017,293.149994,298.75,289.649994,297.350006,294.685028,21936647,38.950001,41,38.849998,40.799999,40.799999,23998485,107.650002,121.400002,106.5,116.699997,114.447105,396498,1433.199951,1446.5,1427.550049,1432.349976,1422.895264,1436020,36.599998,36.849998,35.400002,36.150002,36.150002,121337
4/6/2017,295.450012,297.549988,291.450012,292.850006,290.225342,18413111,40.700001,40.799999,39.799999,40.150002,40.150002,10459529,120.550003,123.099998,117,118.5,116.212357,146957,1431.5,1443,1425.050049,1438.5,1429.004639,1531104,36,36.099998,35.549999,35.799999,35.799999,60463
4/7/2017,291.700012,294.799988,287.649994,289.450012,286.855835,10765502,40.049999,40.849998,39,39.25,39.25,21151649,116.5,124.900002,115.599998,119.199997,116.898842,213272,1431.050049,1445,1428.599976,1438.849976,1429.352295,1162090,35.900002,36.150002,35.549999,35.650002,35.650002,57099
4/10/2017,289.799988,290.350006,286.549988,289.350006,286.756714,10307875,39.099998,39.25,37.349998,37.5,37.5,16987390,119.199997,122.449997,119.199997,121.349998,119.007339,85317,1443,1443,1432.650024,1434.150024,1424.68335,848469,35.900002,36.049999,35.5,35.650002,35.650002,19412
